"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var56","4. Casual or daily labour","na","NA","NA",1100,139.902055898153,687.304904583235,1235.71088643021,"mantika_label","Wadi Ashshati"
"dependent.var57","4. Casual or daily labour","na","NA","NA",339.219499286299,369.904756270374,50,1500,"mantika_label","Aljfara"
"dependent.var58","4. Casual or daily labour","na","NA","NA",590.524886221724,391.911370606758,0,1536.26434304195,"mantika_label","Ejdabia"
"dependent.var59","4. Casual or daily labour","na","NA","NA",500,191.54913501667,66.0692185334976,816.928030338446,"mantika_label","Alkufra"
"dependent.var60","4. Casual or daily labour",NA,NA,"NA",NA,NA,NA,NA,"mantika_label","Sirt"
"dependent.var61","4. Casual or daily labour",NA,NA,"NA",NA,NA,NA,NA,"mantika_label","Ghat"
"dependent.var62","4. Casual or daily labour","na","NA","NA",216.166139916144,1020.42691384931,0,4000,"mantika_label","Al Jabal Al Gharbi"
"dependent.var63","4. Casual or daily labour","na","NA","NA",350,255.106728462327,0,1000,"mantika_label","Derna"
"dependent.var64","4. Casual or daily labour","na","NA","NA",324.930483956634,251.303425557043,0,985.091326566693,"mantika_label","Azzawya"
"dependent.var65","4. Casual or daily labour","na","NA","NA",223.465452043889,99.1513097866376,0,388.665992403567,"mantika_label","Zwara"
"dependent.var66","4. Casual or daily labour","na","NA","NA",200,328.363697900135,150,1437.16204342931,"mantika_label","Murzuq"
"dependent.var67","4. Casual or daily labour","na","NA","NA",100,637.766821155818,0,2500,"mantika_label","Misrata"
"dependent.var68","4. Casual or daily labour","na","NA","NA",1000,495.740131042207,56.7343949322142,2000,"mantika_label","Benghazi"
"dependent.var69","4. Casual or daily labour","na","NA","NA",65.8821260865565,112.944051379579,0,442.732545944031,"mantika_label","Ubari"
"dependent.var70","5. Income from own business or commerce","na","NA","NA",1000,125.032887898861,1000,1490.1199143296,"mantika_label","Sebha"
"dependent.var71","5. Income from own business or commerce",NA,NA,"NA",NA,NA,NA,NA,"mantika_label","Aljufra"
"dependent.var72","5. Income from own business or commerce","na","NA","NA",2315.12139823192,1194.50470591859,787.361623911696,5469.73402983979,"mantika_label","Tripoli"
"dependent.var73","5. Income from own business or commerce","na","NA","NA",794.890514239885,490.932745029869,419.790857721951,2344.21185590181,"mantika_label","Wadi Ashshati"
"dependent.var74","5. Income from own business or commerce","na","NA","NA",2000,543.978907864166,867.641864473607,3000,"mantika_label","Aljfara"
"dependent.var75","5. Income from own business or commerce","na","NA","NA",1959.17057500278,462.135917559209,600,2411.53950875684,"mantika_label","Ejdabia"
"dependent.var76","5. Income from own business or commerce","na","NA","NA",633.566408995081,350.987511325046,429.58089006178,1805.42665250265,"mantika_label","Alkufra"
"dependent.var77","5. Income from own business or commerce","na","NA","NA",700,76.5320185386981,600,900,"mantika_label","Sirt"
"dependent.var78","5. Income from own business or commerce","na","NA","NA",28.1680465671211,127.553364231163,0,500,"mantika_label","Ghat"
"dependent.var79","5. Income from own business or commerce","na","NA","NA",1383.46872712466,510.213456924654,500,2500,"mantika_label","Al Jabal Al Gharbi"
"dependent.var80","5. Income from own business or commerce","na","NA","NA",0,510.213456924654,0,2000,"mantika_label","Derna"
"dependent.var81","5. Income from own business or commerce","na","NA","NA",2000,433.681438385956,1300,3000,"mantika_label","Azzawya"
"dependent.var82","5. Income from own business or commerce","na","NA","NA",1000,154.036854692662,600,1203.81337497889,"mantika_label","Zwara"
"dependent.var83","5. Income from own business or commerce","na","NA","NA",500,225.687356033421,208.979616208694,1093.65779539184,"mantika_label","Murzuq"
"dependent.var84","5. Income from own business or commerce","na","NA","NA",0,382.660092693491,0,1500,"mantika_label","Misrata"
"dependent.var85","5. Income from own business or commerce","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var86","5. Income from own business or commerce","na","NA","NA",600,203.265154703765,400,1196.78476506268,"mantika_label","Ubari"
"dependent.var87","6. Remittances","na","NA","NA",2000,688.788166848283,0,2700,"mantika_label","Sebha"
"dependent.var88","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var89","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var90","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Wadi Ashshati"
"dependent.var91","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Aljfara"
"dependent.var92","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var93","6. Remittances","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
