"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"39","request_1","mantika_label","no","Alkufra",0.98652222699439,NA,0.971000148218231,1.00204430577055,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"40","request_1","mantika_label","yes","Alkufra",0.0134777730056099,NA,-0.00204430577054915,0.0289998517817689,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"41","request_1","mantika_label","no","Azzawya",1,NA,1,1,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"42","request_1","mantika_label","no","Benghazi",0.925163024489221,NA,0.887707414395467,0.962618634582975,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"43","request_1","mantika_label","yes","Benghazi",0.074836975510779,NA,0.0373813654170249,0.112292585604533,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"44","request_1","mantika_label","no","Derna",0.985463828960423,NA,0.968786026480118,1.00214163144073,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"45","request_1","mantika_label","yes","Derna",0.0145361710395773,NA,-0.00214163144072788,0.0312139735198824,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"46","request_1","mantika_label","no","Ejdabia",0.964462323470439,NA,0.933418195992154,0.995506450948724,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"47","request_1","mantika_label","yes","Ejdabia",0.0355376765295608,NA,0.00449354905127573,0.0665818040078459,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"48","request_1","mantika_label","no","Ghat",0.719721444073907,NA,0.659575222573695,0.779867665574119,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"49","request_1","mantika_label","yes","Ghat",0.280278555926093,NA,0.220132334425881,0.340424777426305,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"50","request_1","mantika_label","no","Misrata",0.962815515226558,NA,0.93226224961124,0.993368780841876,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"51","request_1","mantika_label","yes","Misrata",0.0371844847734417,NA,0.0066312191581235,0.0677377503887598,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"52","request_1","mantika_label","no","Murzuq",0.936031525308952,NA,0.892387201902672,0.979675848715232,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"53","request_1","mantika_label","yes","Murzuq",0.0639684746910484,NA,0.0203241512847684,0.107612798097328,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"54","request_1","mantika_label","no","Sebha",0.999643970397622,NA,0.999153147375395,1.00013479341985,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"55","request_1","mantika_label","yes","Sebha",0.000356029602377981,NA,-0.000134793419848773,0.000846852624604735,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"56","request_1","mantika_label","no","Sirt",0.898671305302212,NA,0.859774900662358,0.937567709942065,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"57","request_1","mantika_label","yes","Sirt",0.101328694697788,NA,0.0624322900579352,0.140225099337642,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"58","request_1","mantika_label","no","Tripoli",0.942230376704224,NA,0.904135878075173,0.980324875333275,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"59","request_1","mantika_label","yes","Tripoli",0.0577696232957761,NA,0.019675124666725,0.0958641219248271,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"60","request_1","mantika_label","no","Ubari",0.914470215886738,NA,0.880040985611637,0.948899446161839,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"61","request_1","mantika_label","yes","Ubari",0.0855297841132616,NA,0.0511005538381605,0.119959014388363,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"62","request_1","mantika_label","no","Wadi Ashshati",0.981068021027477,NA,0.957315045866608,1.00482099618834,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"63","request_1","mantika_label","yes","Wadi Ashshati",0.0189319789725235,NA,-0.00482099618834465,0.0426849541333916,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"64","request_1","mantika_label","no","Zwara",0.920286426957474,NA,0.871169468829073,0.969403385085874,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"65","request_1","mantika_label","yes","Zwara",0.0797135730425264,NA,0.0305966149141257,0.128830531170927,NA,NA,2.17788697045384e-20,"Pearson's X^2: Rao & Scott adjustment"
"66","request_2","mantika_label","no","Al Jabal Al Gharbi",1,NA,1,1,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"67","request_2","mantika_label","no","Aljfara",0.999130860631831,NA,0.997931669151998,1.00033005211166,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"68","request_2","mantika_label","yes","Aljfara",0.000869139368169108,NA,-0.000330052111664098,0.00206833084800231,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"69","request_2","mantika_label","no","Aljufra",1,NA,1,1,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"70","request_2","mantika_label","no","Alkufra",1,NA,1,1,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"71","request_2","mantika_label","no","Azzawya",0.999973912258425,NA,0.999922768863895,1.00002505565295,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"72","request_2","mantika_label","yes","Azzawya",2.60877415754182e-05,NA,-2.50556529543154e-05,7.72311361051518e-05,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"73","request_2","mantika_label","no","Benghazi",0.993447280358525,NA,0.981183711568766,1.00571084914828,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"74","request_2","mantika_label","yes","Benghazi",0.00655271964147466,NA,-0.00571084914828431,0.0188162884312336,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"75","request_2","mantika_label","no","Derna",0.992158867657414,NA,0.976786815469708,1.00753091984512,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"76","request_2","mantika_label","yes","Derna",0.00784113234258594,NA,-0.00753091984512048,0.0232131845302924,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"77","request_2","mantika_label","no","Ejdabia",0.96664066715894,NA,0.935685269862965,0.997596064454915,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"78","request_2","mantika_label","yes","Ejdabia",0.03335933284106,NA,0.00240393554508523,0.0643147301370347,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"79","request_2","mantika_label","no","Ghat",1,NA,1,1,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"80","request_2","mantika_label","no","Misrata",0.99818681035996,NA,0.996152458972494,1.00022116174743,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"81","request_2","mantika_label","yes","Misrata",0.00181318964004043,NA,-0.000221161747425495,0.00384754102750636,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"82","request_2","mantika_label","no","Murzuq",0.990195118043439,NA,0.973106274102074,1.0072839619848,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"83","request_2","mantika_label","yes","Murzuq",0.00980488195656085,NA,-0.00728396198480439,0.0268937258979261,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"84","request_2","mantika_label","no","Sebha",1,NA,1,1,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"85","request_2","mantika_label","no","Sirt",1,NA,1,1,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"86","request_2","mantika_label","no","Tripoli",0.991507527718636,NA,0.97565135886424,1.00736369657303,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"87","request_2","mantika_label","yes","Tripoli",0.008492472281364,NA,-0.00736369657303152,0.0243486411357595,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
"88","request_2","mantika_label","no","Ubari",0.993512981591643,NA,0.981366110650835,1.00565985253245,NA,NA,0.15568625766834,"Pearson's X^2: Rao & Scott adjustment"
