,dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max,repeat.var,repeat.var.value,p.value
59,preexisting_vulnerability_index6,NA,3,NA,3% (2%-5%),NA,0.022645993,0.04707236,NA,NA,NA
60,preexisting_vulnerability_index6,NA,1,NA,97% (95%-98%),NA,0.95292764,0.977354007,NA,NA,NA
61,preexisting_vulnerability_index6,NA,3,NA,3% (2%-5%),NA,0.022645993,0.04707236,NA,NA,NA
62,preexisting_vulnerability_index7,NA,1,NA,96% (95%-96%),NA,0.946809549,0.964869082,NA,NA,NA
63,preexisting_vulnerability_index7,NA,3,NA,4% (4%-5%),NA,0.035130918,0.053190451,NA,NA,NA
64,preexisting_vulnerability_index7,NA,1,NA,96% (95%-96%),NA,0.946809549,0.964869082,NA,NA,NA
65,preexisting_vulnerability_index7,NA,3,NA,4% (4%-5%),NA,0.035130918,0.053190451,NA,NA,NA
66,impact_index1,NA,1,NA,50% (48%-53%),NA,0.476926637,0.532376528,NA,NA,NA
67,impact_index1,NA,2,NA,7% (5%-8%),NA,0.049054553,0.084949247,NA,NA,NA
68,impact_index1,NA,3,NA,43% (40%-45%),NA,0.403095469,0.453597567,NA,NA,NA
69,impact_index1,NA,1,NA,50% (48%-53%),NA,0.476926637,0.532376528,NA,NA,NA
70,impact_index1,NA,2,NA,7% (5%-8%),NA,0.049054553,0.084949247,NA,NA,NA
71,impact_index1,NA,3,NA,43% (40%-45%),NA,0.403095469,0.453597567,NA,NA,NA
72,impact_index1,NA,1,NA,50% (48%-53%),NA,0.476926637,0.532376528,NA,NA,NA
73,impact_index1,NA,2,NA,7% (5%-8%),NA,0.049054553,0.084949247,NA,NA,NA
74,impact_index1,NA,3,NA,43% (40%-45%),NA,0.403095469,0.453597567,NA,NA,NA
75,impact_index2,NA,1,NA,34% (30%-38%),NA,0.303019845,0.378766225,NA,NA,NA
76,impact_index2,NA,2,NA,59% (54%-63%),NA,0.544840338,0.625210307,NA,NA,NA
77,impact_index2,NA,3,NA,7% (5%-10%),NA,0.052819699,0.095343586,NA,NA,NA
78,impact_index2,NA,1,NA,34% (30%-38%),NA,0.303019845,0.378766225,NA,NA,NA
79,impact_index2,NA,2,NA,59% (54%-63%),NA,0.544840338,0.625210307,NA,NA,NA
80,impact_index2,NA,3,NA,7% (5%-10%),NA,0.052819699,0.095343586,NA,NA,NA
81,impact_index2,NA,1,NA,34% (30%-38%),NA,0.303019845,0.378766225,NA,NA,NA
82,impact_index2,NA,2,NA,59% (54%-63%),NA,0.544840338,0.625210307,NA,NA,NA
83,impact_index2,NA,3,NA,7% (5%-10%),NA,0.052819699,0.095343586,NA,NA,NA
84,impact_index3,NA,1,NA,98% (97%-99%),NA,0.968240842,0.985140973,NA,NA,NA
85,impact_index3,NA,2,NA,2% (1%-3%),NA,0.011949694,0.026254792,NA,NA,NA
86,impact_index3,NA,3,NA,0% (0%-1%),NA,-0.000347233,0.008760932,NA,NA,NA
87,impact_index3,NA,1,NA,98% (97%-99%),NA,0.968240842,0.985140973,NA,NA,NA
88,impact_index3,NA,2,NA,2% (1%-3%),NA,0.011949694,0.026254792,NA,NA,NA
89,impact_index3,NA,3,NA,0% (0%-1%),NA,-0.000347233,0.008760932,NA,NA,NA
90,impact_index3,NA,1,NA,98% (97%-99%),NA,0.968240842,0.985140973,NA,NA,NA
91,impact_index3,NA,2,NA,2% (1%-3%),NA,0.011949694,0.026254792,NA,NA,NA
92,impact_index3,NA,3,NA,0% (0%-1%),NA,-0.000347233,0.008760932,NA,NA,NA
93,impact_index4,NA,1,NA,97% (96%-98%),NA,0.963277827,0.97881651,NA,NA,NA
94,impact_index4,NA,2,NA,1% (0%-1%),NA,0.002925579,0.009206542,NA,NA,NA
95,impact_index4,NA,3,NA,2% (2%-3%),NA,0.015719705,0.030053837,NA,NA,NA
96,impact_index4,NA,1,NA,97% (96%-98%),NA,0.963277827,0.97881651,NA,NA,NA
97,impact_index4,NA,2,NA,1% (0%-1%),NA,0.002925579,0.009206542,NA,NA,NA
98,impact_index4,NA,3,NA,2% (2%-3%),NA,0.015719705,0.030053837,NA,NA,NA
99,impact_index4,NA,1,NA,97% (96%-98%),NA,0.963277827,0.97881651,NA,NA,NA
100,impact_index4,NA,2,NA,1% (0%-1%),NA,0.002925579,0.009206542,NA,NA,NA
101,impact_index4,NA,3,NA,2% (2%-3%),NA,0.015719705,0.030053837,NA,NA,NA
102,impact_index5,NA,1,NA,65% (63%-67%),NA,0.633974346,0.674783189,NA,NA,NA
103,impact_index5,NA,2,NA,34% (31%-36%),NA,0.314951194,0.355070565,NA,NA,NA
104,impact_index5,NA,3,NA,1% (1%-2%),NA,0.005628523,0.015592183,NA,NA,NA
105,impact_index5,NA,1,NA,65% (63%-67%),NA,0.633974346,0.674783189,NA,NA,NA
106,impact_index5,NA,2,NA,34% (31%-36%),NA,0.314951194,0.355070565,NA,NA,NA
107,impact_index5,NA,3,NA,1% (1%-2%),NA,0.005628523,0.015592183,NA,NA,NA
108,impact_index5,NA,1,NA,65% (63%-67%),NA,0.633974346,0.674783189,NA,NA,NA
109,impact_index5,NA,2,NA,34% (31%-36%),NA,0.314951194,0.355070565,NA,NA,NA
110,impact_index5,NA,3,NA,1% (1%-2%),NA,0.005628523,0.015592183,NA,NA,NA
111,impact_index6,NA,1,NA,100% (100%-100%),NA,0.996912892,0.999778464,NA,NA,NA
112,impact_index6,NA,3,NA,0%,NA,0.000221536,0.003087108,NA,NA,NA
113,impact_index6,NA,1,NA,100% (100%-100%),NA,0.996912892,0.999778464,NA,NA,NA
114,impact_index6,NA,3,NA,0%,NA,0.000221536,0.003087108,NA,NA,NA
115,impact_index7,NA,1,NA,85% (85%-85%),NA,0.854453252,0.854453252,NA,NA,NA
116,impact_index7,NA,2,NA,11% (10%-11%),NA,0.104962081,0.111104202,NA,NA,NA
117,impact_index7,NA,3,NA,4% (3%-4%),NA,0.034442546,0.040584667,NA,NA,NA
118,impact_index7,NA,1,NA,85% (85%-85%),NA,0.854453252,0.854453252,NA,NA,NA
119,impact_index7,NA,2,NA,11% (10%-11%),NA,0.104962081,0.111104202,NA,NA,NA
120,impact_index7,NA,3,NA,4% (3%-4%),NA,0.034442546,0.040584667,NA,NA,NA
121,impact_index7,NA,1,NA,85% (85%-85%),NA,0.854453252,0.854453252,NA,NA,NA
122,impact_index7,NA,2,NA,11% (10%-11%),NA,0.104962081,0.111104202,NA,NA,NA
123,impact_index7,NA,3,NA,4% (3%-4%),NA,0.034442546,0.040584667,NA,NA,NA
124,impact_index8,NA,1,NA,83% (81%-85%),NA,0.807691854,0.852076089,NA,NA,NA
125,impact_index8,NA,2,NA,4% (3%-5%),NA,0.026339985,0.04718522,NA,NA,NA
126,impact_index8,NA,3,NA,13% (11%-15%),NA,0.112754343,0.153952509,NA,NA,NA
127,impact_index8,NA,1,NA,83% (81%-85%),NA,0.807691854,0.852076089,NA,NA,NA
128,impact_index8,NA,2,NA,4% (3%-5%),NA,0.026339985,0.04718522,NA,NA,NA
129,impact_index8,NA,3,NA,13% (11%-15%),NA,0.112754343,0.153952509,NA,NA,NA
130,impact_index8,NA,1,NA,83% (81%-85%),NA,0.807691854,0.852076089,NA,NA,NA
131,impact_index8,NA,2,NA,4% (3%-5%),NA,0.026339985,0.04718522,NA,NA,NA
132,impact_index8,NA,3,NA,13% (11%-15%),NA,0.112754343,0.153952509,NA,NA,NA
133,impact_index9,NA,1,NA,99% (99%-100%),NA,0.98952256,0.999175655,NA,NA,NA
134,impact_index9,NA,2,NA,0%,NA,-7.42E-05,0.000465466,NA,NA,NA
135,impact_index9,NA,3,NA,1% (0%-1%),NA,0.000636088,0.010274389,NA,NA,NA
136,impact_index9,NA,1,NA,99% (99%-100%),NA,0.98952256,0.999175655,NA,NA,NA
137,impact_index9,NA,2,NA,0%,NA,-7.42E-05,0.000465466,NA,NA,NA
138,impact_index9,NA,3,NA,1% (0%-1%),NA,0.000636088,0.010274389,NA,NA,NA
139,impact_index9,NA,1,NA,99% (99%-100%),NA,0.98952256,0.999175655,NA,NA,NA
140,impact_index9,NA,2,NA,0%,NA,-7.42E-05,0.000465466,NA,NA,NA
141,impact_index9,NA,3,NA,1% (0%-1%),NA,0.000636088,0.010274389,NA,NA,NA
142,protection_index1,NA,1,NA,63% (61%-66%),NA,0.609639184,0.657892906,NA,NA,NA
143,protection_index1,NA,3,NA,37% (34%-39%),NA,0.342107094,0.390360816,NA,NA,NA
144,protection_index1,NA,1,NA,63% (61%-66%),NA,0.609639184,0.657892906,NA,NA,NA
145,protection_index1,NA,3,NA,37% (34%-39%),NA,0.342107094,0.390360816,NA,NA,NA
146,protection_index2,NA,1,NA,94% (92%-95%),NA,0.92417255,0.950065463,NA,NA,NA
147,protection_index2,NA,2,NA,3% (2%-4%),NA,0.023050404,0.041864022,NA,NA,NA
148,protection_index2,NA,3,NA,3% (2%-4%),NA,0.021109775,0.039737785,NA,NA,NA
149,protection_index2,NA,1,NA,94% (92%-95%),NA,0.92417255,0.950065463,NA,NA,NA
150,protection_index2,NA,2,NA,3% (2%-4%),NA,0.023050404,0.041864022,NA,NA,NA
151,protection_index2,NA,3,NA,3% (2%-4%),NA,0.021109775,0.039737785,NA,NA,NA
152,protection_index2,NA,1,NA,94% (92%-95%),NA,0.92417255,0.950065463,NA,NA,NA
153,protection_index2,NA,2,NA,3% (2%-4%),NA,0.023050404,0.041864022,NA,NA,NA
154,protection_index2,NA,3,NA,3% (2%-4%),NA,0.021109775,0.039737785,NA,NA,NA
155,protection_index3,NA,1,NA,97% (96%-98%),NA,0.955139273,0.976725796,NA,NA,NA
156,protection_index3,NA,3,NA,2% (1%-3%),NA,0.012769948,0.028322708,NA,NA,NA
157,protection_index3,NA,4,NA,1% (1%-2%),NA,0.005863798,0.021178476,NA,NA,NA
158,protection_index3,NA,1,NA,97% (96%-98%),NA,0.955139273,0.976725796,NA,NA,NA
159,protection_index3,NA,3,NA,2% (1%-3%),NA,0.012769948,0.028322708,NA,NA,NA
160,protection_index3,NA,4,NA,1% (1%-2%),NA,0.005863798,0.021178476,NA,NA,NA
161,protection_index3,NA,1,NA,97% (96%-98%),NA,0.955139273,0.976725796,NA,NA,NA
162,protection_index3,NA,3,NA,2% (1%-3%),NA,0.012769948,0.028322708,NA,NA,NA
163,protection_index3,NA,4,NA,1% (1%-2%),NA,0.005863798,0.021178476,NA,NA,NA
164,protection_index4,NA,1,NA,98% (98%-99%),NA,0.978784527,0.990538007,NA,NA,NA
165,protection_index4,NA,4,NA,2% (1%-2%),NA,0.009461993,0.021215473,NA,NA,NA
166,protection_index4,NA,1,NA,98% (98%-99%),NA,0.978784527,0.990538007,NA,NA,NA
167,protection_index4,NA,4,NA,2% (1%-2%),NA,0.009461993,0.021215473,NA,NA,NA
168,protection_index5,NA,1,NA,94% (92%-95%),NA,0.924325917,0.95085145,NA,NA,NA
169,protection_index5,NA,3,NA,6% (5%-8%),NA,0.04914855,0.075674083,NA,NA,NA
170,protection_index5,NA,1,NA,94% (92%-95%),NA,0.924325917,0.95085145,NA,NA,NA
171,protection_index5,NA,3,NA,6% (5%-8%),NA,0.04914855,0.075674083,NA,NA,NA
172,protection_index6,NA,1,NA,97% (96%-99%),NA,0.960598317,0.985772347,NA,NA,NA
173,protection_index6,NA,2,NA,3% (1%-4%),NA,0.014227653,0.039401683,NA,NA,NA
174,protection_index6,NA,1,NA,97% (96%-99%),NA,0.960598317,0.985772347,NA,NA,NA
175,protection_index6,NA,2,NA,3% (1%-4%),NA,0.014227653,0.039401683,NA,NA,NA
176,shelter_nfi_index1,NA,1,NA,99% (98%-99%),NA,0.977852388,0.993753949,NA,NA,NA
177,shelter_nfi_index1,NA,3,NA,1% (1%-2%),NA,0.006246051,0.022147612,NA,NA,NA
178,shelter_nfi_index1,NA,1,NA,99% (98%-99%),NA,0.977852388,0.993753949,NA,NA,NA
179,shelter_nfi_index1,NA,3,NA,1% (1%-2%),NA,0.006246051,0.022147612,NA,NA,NA
180,shelter_nfi_index2,NA,1,NA,95% (94%-97%),NA,0.94413552,0.965066141,NA,NA,NA
181,shelter_nfi_index2,NA,2,NA,3% (2%-4%),NA,0.022745348,0.04078861,NA,NA,NA
182,shelter_nfi_index2,NA,3,NA,1% (1%-2%),NA,0.005655854,0.016100228,NA,NA,NA
